[2025-10-27T15:55:37.825Z] FALLO: jquery.mb.YTPlayer.min.js | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-27T15:55:38.473Z] FALLO: jquery.mb.YTPlayer.min.js | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-27T15:55:38.783Z] FALLO: jquery.mb.YTPlayer.min.css | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-27T15:55:39.088Z] FALLO: jquery.mb.YTPlayer.min.css | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-27T15:55:39.536Z] FALLO: bootstrap.min.css | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-27T15:55:39.914Z] FALLO: bootstrap.min.css | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-27T15:55:40.120Z] FALLO: bootstrap.min.js | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-27T15:55:40.285Z] FALLO: bootstrap.min.js | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-27T19:07:36.415Z] FALLO: jquery.mb.YTPlayer.min.js | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-27T19:07:37.264Z] FALLO: jquery.mb.YTPlayer.min.js | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: Página de error disfrazada
[2025-10-27T19:07:37.413Z] FALLO: jquery.mb.YTPlayer.min.css | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: Página de error disfrazada
